Do_Number,So_Number,Invoice_Number,Weight,CBM,Location_Code
300545,300545,300545,2.65,0.01134,SHTP-0009
300546,300546,300546,12.85,0.022134,SHTP-0009
300547,300547,300547,29.3,0.025639,SHTP-0009
300548,300548,300548,24.93,0.016538,SHTP-0009
300549,300549,300549,12.85,0.022134,SHTP-0009
300550,300550,300550,2.65,0.009653,SHTP-0009
300551,300551,300551,15.9,0.01134,SHTP-0081
300552,300552,300552,10.1,0.013006,SHTP-0081
300553,300553,300553,10.6,0.009653,SHTP-0081
300554,300554,300554,1.0225,0.016095,SHTP-0033
300555,300555,300555,13.85,0.016538,SHTP-0033
300556,300556,300556,5.3,0.009653,SHTP-0033
300557,300557,300557,5.05,0.013006,SHTP-0033
300562,300562,300562,102.49,0.016538,SHTP-0044
300563,300563,300563,60.94,0.016538,SHTP-0044
300564,300564,300564,10.6,0.009653,SHTP-0081
300565,300565,300565,2.65,0.01134,SHTP-0081
300566,300566,300566,27.17,0.010583,SHTP-0081
300567,300567,300567,10.1,0.013006,SHTP-0081
300568,300568,300568,2.65,0.005429,SHTP-0033
300569,300569,300569,146.5,0.025639,SHTP-0033
300570,300570,300570,5.05,0.013006,SHTP-0033
300571,300571,300571,7.95,0.01134,SHTP-0713
300572,300572,300572,7.95,0.01134,SHTP-0713
300573,300573,300573,5.3,0.009653,SHTP-0713
300574,300574,300574,5.3,0.009653,SHTP-0713
300575,300575,300575,5.3,0.005429,SHTP-0713
300576,300576,300576,12.85,0.022134,SHTP-0713
300577,300577,300577,10.868,0.010583,SHTP-0713
300578,300578,300578,15.438,0.007812,SHTP-0657
300579,300579,300579,41.55,0.016538,SHTP-0657
300580,300580,300580,10.6,0.009653,SHTP-0032
300581,300581,300581,5.3,0.009653,SHTP-0032
300582,300582,300582,10.1,0.013006,SHTP-0032
300583,300583,300583,10.1,0.013006,SHTP-0032
300584,300584,300584,5.05,0.013006,SHTP-0033
300585,300585,300585,1.0225,0.016095,SHTP-0033
300586,300586,300586,10.292,0.007812,SHTP-0713
300587,300587,300587,10.6,0.009653,SHTP-0713
300588,300588,300588,10.6,0.009653,SHTP-0713
300589,300589,300589,7.95,0.009653,SHTP-0713
300590,300590,300590,7.95,0.009653,SHTP-0713
300591,300591,300591,11.08,0.016538,SHTP-0800
300592,300592,300592,22.16,0.016538,SHTP-0657
300593,300593,300593,16.302,0.010583,SHTP-0657
300594,300594,300594,5.3,0.005429,SHTP-0049
300595,300595,300595,5.3,0.009653,SHTP-0049
300596,300596,300596,10.1,0.013006,SHTP-0032
300597,300597,300597,10.1,0.013006,SHTP-0032
300598,300598,300598,16.62,0.016538,SHTP-0032
300599,300599,300599,16.62,0.016538,SHTP-0032
300600,300600,300600,81.25,0.021528,SHTP-0073
300601,300601,300601,10.1,0.013006,SHTP-0073
300602,300602,300602,41.55,0.016538,SHTP-0073
300603,300603,300603,87.5,0.021528,SHTP-0073
300604,300604,300604,5.3,0.01134,SHTP-0073
300605,300605,300605,10.6,0.009653,SHTP-0800
300606,300606,300606,31.25,0.021528,SHTP-0800
300607,300607,300607,31.25,0.021528,SHTP-0800
300608,300608,300608,5.3,0.009653,SHTP-0800
300609,300609,300609,5.3,0.009653,SHTP-0800
300610,300610,300610,10.6,0.009653,SHTP-0800
300611,300611,300611,14.65,0.025639,SHTP-0800
300612,300612,300612,5.3,0.009653,SHTP-0049
300613,300613,300613,29.3,0.025639,SHTP-0049
300614,300614,300614,55.4,0.016538,SHTP-0049
300615,300615,300615,27.7,0.016538,SHTP-0049
300616,300616,300616,21.736,0.010583,SHTP-0032
300617,300617,300617,13.25,0.009653,SHTP-0032
300618,300618,300618,13.25,0.009653,SHTP-0032
300619,300619,300619,7.95,0.009653,SHTP-0032
300620,300620,300620,2.65,0.009653,SHTP-0032
300621,300621,300621,8.31,0.016538,SHTP-0032
300622,300622,300622,2.65,0.01134,SHTP-0073
300623,300623,300623,5.05,0.013006,SHTP-0073
300624,300624,300624,23.85,0.009653,SHTP-0073
300625,300625,300625,16.302,0.010583,SHTP-0033
300626,300626,300626,1.0225,0.016095,SHTP-0033
300629,300629,300629,19.25,0.006503,SHTP-0307
300630,300630,300630,3.975,0.01134,SHTP-0307
300631,300631,300631,6.25,0.021528,SHTP-0307
300632,300632,300632,12.85,0.022134,SHTP-0044
300633,300633,300633,62.5,0.021528,SHTP-0040
300634,300634,300634,62.5,0.021528,SHTP-0040
300635,300635,300635,73.25,0.025639,SHTP-0032
300636,300636,300636,73.25,0.025639,SHTP-0081
300637,300637,300637,22.16,0.016538,SHTP-0033
300638,300638,300638,24.93,0.016538,SHTP-0033
300639,300639,300639,5.3,0.009653,SHTP-0033
300640,300640,300640,5.05,0.013006,SHTP-0033
300644,300644,300644,28.875,0.006503,SHTP-0307
300645,300645,300645,10.1,0.013006,SHTP-0307
300646,300646,300646,7.575,0.013006,SHTP-0307
300647,300647,300647,12.625,0.013006,SHTP-0307
300648,300648,300648,13.21,0.016796,SHTP-0307
300649,300649,300649,25.73,0.007812,SHTP-0112
300650,300650,300650,2.375,0.007125,SHTP-0112
300651,300651,300651,44.32,0.016538,SHTP-0657
300652,300652,300652,131.85,0.025639,SHTP-0657
300653,300653,300653,64.25,0.022134,SHTP-0040
300654,300654,300654,2.65,0.005429,SHTP-0032
300655,300655,300655,2.045,0.016095,SHTP-0032
300656,300656,300656,2.045,0.016095,SHTP-0032
300657,300657,300657,4.09,0.016095,SHTP-0032
300658,300658,300658,4.09,0.016095,SHTP-0032
300666,300666,300666,55.4,0.016538,SHTP-0031
300667,300667,300667,41.55,0.016538,SHTP-0031
300668,300668,300668,13.85,0.016538,SHTP-0031
300669,300669,300669,73.25,0.025639,SHTP-0031
300670,300670,300670,12.85,0.022134,SHTP-0713
300671,300671,300671,51.4,0.022134,SHTP-0040
300672,300672,300672,27.7,0.016538,SHTP-0040
300673,300673,300673,22.16,0.016538,SHTP-0040
300674,300674,300674,5.05,0.013006,SHTP-0040
300675,300675,300675,10.6,0.009653,SHTP-0032
300679,300679,300679,69.25,0.016538,SHTP-0850
300680,300680,300680,85.87,0.016538,SHTP-0850
300681,300681,300681,7.95,0.009653,SHTP-0850
300682,300682,300682,7.95,0.009653,SHTP-0850
300683,300683,300683,12.5,0.021528,SHTP-0850
300684,300684,300684,18.75,0.021528,SHTP-0850
300685,300685,300685,12.85,0.022134,SHTP-0713
300686,300686,300686,55.4,0.016538,SHTP-0713
300687,300687,300687,27.7,0.016538,SHTP-0713
300688,300688,300688,12.85,0.022134,SHTP-0713
300689,300689,300689,2.65,0.01134,SHTP-0040
300690,300690,300690,22.16,0.016538,SHTP-0040
300691,300691,300691,117.2,0.025639,SHTP-0040
